Temp;Pressure;Humidity
0.5;0.20610687022900764;0.0
0.0;0.9007633587786259;0.19999999999999957
0.6;0.4580152671755725;0.8000000000000005
0.7;0.7251908396946565;0.6000000000000002
0.6;0.0;0.8666666666666673
0.5;0.3053435114503817;0.6000000000000002
0.3;0.9236641221374046;0.0
1.0;0.1984732824427481;0.39999999999999986
0.4;0.6870229007633588;0.5333333333333334
0.4;0.08396946564885496;0.666666666666667
0.0;0.1450381679389313;0.0
0.3;0.6259541984732825;1.0
0.8;1.0;0.4666666666666666
0.4;0.9541984732824428;0.3333333333333331
0.7;0.31297709923664124;0.39999999999999986
0.7;0.4122137404580153;0.5333333333333334
0.2;0.6641221374045801;0.8666666666666673
0.1;0.6412213740458015;0.5333333333333334
0.3;0.08396946564885496;0.1333333333333328
0.0;0.9083969465648855;0.5333333333333334
